,,,,,,,,,,,,,,,,
,,,PRIMARY MORTGAGE MARKET SURVEY®,,,,,,,,,,,,,
,,,Summary page with all rate types - U.S. averages,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,U.S.,30 yr,U.S.,15 yr,U.S.,5/1 ARM,U.S.,30 yr FRM/,,,,,,,,
,30 yr,fees &,15 yr,fees &,5/1,fees &,5/1 ARM,5/1 ARM,,,,,,,,
Week,FRM,points,FRM,points,ARM,points,margin,spread,,,,,,,,
4/2/1971,7.33,,,,,,,,,,,,,,,
4/9/1971,7.31, ,,,,,,,,,,,,,,
4/16/1971,7.31, ,,,,,,,,,,,,,,
4/23/1971,7.31, ,,,,,,,,,,,,,,
4/30/1971,7.29, ,,,,,,,,,,,,,,
5/7/1971,7.38, ,,,,,,,,,,,,,,
5/14/1971,7.42, ,,,,,,,,,,,,,,
5/21/1971,7.44, ,,,,,,,,,,,,,,
5/28/1971,7.46,1.00,,,,,,,,,,,,,,
6/4/1971,7.52, ,,,,,,,,,,,,,,
6/11/1971,7.52, ,,,,,,,,,,,,,,
6/18/1971,7.54,1.20,,,,,,,,,,,,,,
6/25/1971,7.54, ,,,,,,,,,,,,,,
7/2/1971,7.54, ,,,,,,,,,,,,,,
7/9/1971,7.54, ,,,,,,,,,,,,,,
7/16/1971,7.60,1.20,,,,,,,,,,,,,,
7/23/1971,7.65, ,,,,,,,,,,,,,,
7/30/1971,7.69, ,,,,,,,,,,,,,,
8/6/1971,7.66, ,,,,,,,,,,,,,,
8/13/1971,7.73, ,,,,,,,,,,,,,,
8/20/1971,7.71,1.30,,,,,,,,,,,,,,
8/27/1971,7.69, ,,,,,,,,,,,,,,
9/3/1971,7.71, ,,,,,,,,,,,,,,
9/10/1971,7.67, ,,,,,,,,,,,,,,
9/17/1971,7.70,1.10,,,,,,,,,,,,,,
9/24/1971,7.67, ,,,,,,,,,,,,,,
10/1/1971,7.67, ,,,,,,,,,,,,,,
10/8/1971,7.63, ,,,,,,,,,,,,,,
10/15/1971,7.63, ,,,,,,,,,,,,,,
10/22/1971,7.58,1.10,,,,,,,,,,,,,,
10/29/1971,7.63, ,,,,,,,,,,,,,,
11/5/1971,7.59, ,,,,,,,,,,,,,,
11/12/1971,7.56, ,,,,,,,,,,,,,,
11/19/1971,7.54,1.00,,,,,,,,,,,,,,
11/26/1971,7.51, ,,,,,,,,,,,,,,
12/3/1971,7.49, ,,,,,,,,,,,,,,
12/10/1971,7.47, ,,,,,,,,,,,,,,
12/17/1971,7.48, ,,,,,,,,,,,,,,
12/24/1971,7.48, ,,,,,,,,,,,,,,
12/31/1971,7.48,1.00,,,,,,,,,,,,,,
1/7/1972,7.46,1.00,,,,,,,,,,,,,,
1/14/1972,7.46,0.90,,,,,,,,,,,,,,
1/21/1972,7.43,1.00,,,,,,,,,,,,,,
1/28/1972,7.40,0.90,,,,,,,,,,,,,,
2/4/1972,7.35,0.90,,,,,,,,,,,,,,
2/11/1972,7.33,0.90,,,,,,,,,,,,,,
2/18/1972,7.31,0.90,,,,,,,,,,,,,,
2/25/1972,7.31,0.90,,,,,,,,,,,,,,
3/3/1972,7.32,0.90,,,,,,,,,,,,,,
3/10/1972,7.32,1.00,,,,,,,,,,,,,,
3/17/1972,7.31,0.90,,,,,,,,,,,,,,
3/24/1972,7.31,0.90,,,,,,,,,,,,,,
3/31/1972,7.23,0.90,,,,,,,,,,,,,,
4/7/1972,7.25,0.90,,,,,,,,,,,,,,
4/14/1972,7.29,0.90,,,,,,,,,,,,,,
4/21/1972,7.29,0.90,,,,,,,,,,,,,,
4/28/1972,7.33,1.00,,,,,,,,,,,,,,
5/5/1972,7.33,0.80,,,,,,,,,,,,,,
5/12/1972,7.38,0.90,,,,,,,,,,,,,,
5/19/1972,7.38,0.90,,,,,,,,,,,,,,
5/26/1972,7.40,0.90,,,,,,,,,,,,,,
6/2/1972,7.36,1.00,,,,,,,,,,,,,,
6/9/1972,7.38,1.00,,,,,,,,,,,,,,
6/16/1972,7.38,0.90,,,,,,,,,,,,,,
6/23/1972,7.36,0.90,,,,,,,,,,,,,,
6/30/1972,7.38,0.80,,,,,,,,,,,,,,
7/7/1972,7.38,0.90,,,,,,,,,,,,,,
7/14/1972,7.40,0.90,,,,,,,,,,,,,,
7/21/1972,7.40,0.90,,,,,,,,,,,,,,
7/28/1972,7.40,1.00,,,,,,,,,,,,,,
8/4/1972,7.35,0.90,,,,,,,,,,,,,,
8/11/1972,7.41,0.90,,,,,,,,,,,,,,
8/18/1972,7.42,0.90,,,,,,,,,,,,,,
8/25/1972,7.42,0.90,,,,,,,,,,,,,,
9/1/1972,7.42,1.00,,,,,,,,,,,,,,
9/8/1972,7.42,0.90,,,,,,,,,,,,,,
9/15/1972,7.42,0.90,,,,,,,,,,,,,,
9/22/1972,7.41,1.00,,,,,,,,,,,,,,
9/29/1972,7.43,1.00,,,,,,,,,,,,,,
10/6/1972,7.41,0.90,,,,,,,,,,,,,,
10/13/1972,7.41,0.90,,,,,,,,,,,,,,
10/20/1972,7.44,1.00,,,,,,,,,,,,,,
10/27/1972,7.42,1.00,,,,,,,,,,,,,,
11/3/1972,7.43,1.00,,,,,,,,,,,,,,
11/10/1972,7.42,1.00,,,,,,,,,,,,,,
11/17/1972,7.42,1.00,,,,,,,,,,,,,,
11/24/1972,7.44,0.90,,,,,,,,,,,,,,
12/1/1972,7.45,1.00,,,,,,,,,,,,,,
12/8/1972,7.43,1.00,,,,,,,,,,,,,,
12/15/1972,7.43,1.00,,,,,,,,,,,,,,
12/22/1972,7.45,1.00,,,,,,,,,,,,,,
12/29/1972,7.45,0.90,,,,,,,,,,,,,,
1/5/1973,7.44,0.90,,,,,,,,,,,,,,
1/12/1973,7.44,0.90,,,,,,,,,,,,,,
