RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30
394404,10,"Boston, MA",msa,MA,445948.0,442826.0,442391.0,441337.0,441542.0,443377.0,448295.0,454735.0,456410.0,459248.0,457242.0,457882.0,454427.0,456420.0,458834.0,459754.0,464424.0,467365.0,474650.0,483880.0,494135.0,494202.0,488652.0,487358.0,501614.0,522862.0,536554.0,538524.0,536696.0,538061.0,545159.0,554001.0,568110.0,579663.0,591637.0,593879.0,596384.0,593707.0,594576.0,598956.0,601539.0,600752.0,599932.0,611010.0,628725.0,648706.0,661545.0,662640.0,657543.0,647030.0,641871.0,637045.0,627295.0,619016.0,611956.0,619440.0,630777.0,649318.0,664019.0,680015.0,684075.0,682176.0,679532.0,676074.0,669393.0,664215.0,667583.0,687302.0,697301.0
394976,11,"Phoenix, AZ",msa,AZ,261409.0,260727.0,260291.0,260977.0,261719.0,263797.0,264782.0,267411.0,267717.0,269607.0,270983.0,273006.0,275252.0,276883.0,279806.0,281718.0,284600.0,287831.0,292162.0,297093.0,298687.0,297971.0,298501.0,304211.0,313727.0,322246.0,328630.0,333299.0,335673.0,340442.0,347040.0,356197.0,364443.0,374968.0,384747.0,394421.0,400773.0,407659.0,413881.0,420841.0,426772.0,433604.0,441365.0,451384.0,461909.0,470503.0,474385.0,469898.0,461114.0,452629.0,449219.0,442967.0,434373.0,426869.0,422576.0,424288.0,426169.0,432372.0,437720.0,440643.0,442732.0,443067.0,444929.0,448454.0,450846.0,450906.0,451337.0,453822.0,458940.0
395057,12,"San Francisco, CA",msa,CA,903803.0,900592.0,911195.0,912458.0,903140.0,887638.0,892489.0,903391.0,915854.0,916138.0,913765.0,905118.0,892580.0,891324.0,902425.0,909359.0,913206.0,907040.0,912797.0,917534.0,916713.0,908433.0,915205.0,945931.0,987727.0,1017435.0,1026706.0,1029340.0,1028489.0,1046321.0,1072132.0,1109356.0,1149329.0,1183233.0,1206867.0,1209344.0,1209166.0,1209748.0,1209881.0,1209381.0,1189432.0,1189538.0,1216397.0,1258885.0,1306087.0,1331328.0,1331767.0,1292480.0,1241184.0,1213971.0,1202967.0,1188245.0,1166620.0,1134361.0,1103134.0,1113127.0,1127799.0,1151858.0,1162593.0,1172574.0,1185185.0,1193173.0,1203042.0,1219099.0,1199331.0,1185300.0,1189612.0,1224771.0,1263831.0
395025,13,"Riverside, CA",msa,CA,357157.0,358929.0,357893.0,357013.0,354013.0,353935.0,356802.0,359287.0,361567.0,363310.0,365930.0,368058.0,370644.0,373192.0,376678.0,376569.0,376963.0,377348.0,380751.0,384887.0,385369.0,383912.0,385848.0,393820.0,406253.0,417008.0,424528.0,429716.0,434128.0,439379.0,445490.0,454086.0,463775.0,473231.0,481506.0,487513.0,493545.0,496468.0,501145.0,506072.0,514565.0,521969.0,528622.0,536468.0,546029.0,553692.0,555989.0,548805.0,542254.0,534841.0,531392.0,520483.0,511712.0,505509.0,510493.0,512896.0,517516.0,521946.0,525524.0,527798.0,529636.0,530266.0,535330.0,536933.0,541791.0,542721.0,546168.0,553318.0,561341.0
394532,14,"Detroit, MI",msa,MI,168739.0,165831.0,163160.0,163785.0,164607.0,163230.0,164841.0,166025.0,168826.0,170471.0,172265.0,175987.0,176824.0,177653.0,175876.0,175932.0,176085.0,176716.0,176251.0,181097.0,188425.0,184766.0,184674.0,188011.0,199623.0,203917.0,202547.0,205675.0,205047.0,204622.0,201127.0,198985.0,200977.0,207721.0,212992.0,216458.0,216135.0,218493.0,218605.0,220708.0,219343.0,215959.0,214791.0,212094.0,215723.0,218945.0,227369.0,231168.0,232193.0,226950.0,224670.0,219753.0,215647.0,209996.0,214656.0,216814.0,220766.0,221572.0,227531.0,231070.0,230482.0,228471.0,227877.0,226358.0,225505.0,222806.0,225602.0,227381.0,235394.0
395078,15,"Seattle, WA",msa,WA,460620.0,453634.0,449647.0,447914.0,448937.0,451985.0,462279.0,471706.0,479981.0,485099.0,484361.0,481398.0,477044.0,475587.0,480089.0,483779.0,494932.0,498451.0,509484.0,515854.0,522561.0,513375.0,512873.0,518388.0,540277.0,558760.0,572350.0,578480.0,576615.0,581508.0,588732.0,608675.0,626807.0,651775.0,663725.0,672489.0,668561.0,663318.0,661166.0,660338.0,666640.0,666680.0,684225.0,708248.0,745997.0,761597.0,755094.0,731128.0,709849.0,703307.0,704170.0,700153.0,686709.0,675656.0,670021.0,671778.0,671788.0,682496.0,697159.0,706245.0,709596.0,708292.0,714134.0,717612.0,714728.0,708832.0,710954.0,724683.0,739612.0
394865,16,"Minneapolis, MN",msa,MN,249633.0,250332.0,253349.0,255158.0,257036.0,258330.0,260915.0,265160.0,267059.0,267765.0,267584.0,268259.0,269871.0,269963.0,271244.0,272723.0,275382.0,275575.0,276582.0,279611.0,283624.0,282846.0,281640.0,284194.0,292055.0,298572.0,304525.0,306855.0,308699.0,307339.0,308232.0,311078.0,316124.0,321894.0,325533.0,327890.0,330108.0,332791.0,335670.0,335870.0,334433.0,333167.0,332615.0,335810.0,342454.0,351028.0,356770.0,357067.0,353286.0,350997.0,348889.0,347426.0,342504.0,341184.0,340267.0,341466.0,341388.0,343707.0,350435.0,355391.0,361647.0,361613.0,360169.0,357436.0,353940.0,352542.0,352688.0,353290.0,358992.0
395056,17,"San Diego, CA",msa,CA,616834.0,617206.0,612349.0,607204.0,601223.0,599966.0,597844.0,598715.0,603719.0,605945.0,615447.0,614940.0,617385.0,611155.0,614525.0,619473.0,626005.0,630821.0,638015.0,642231.0,642528.0,633125.0,632257.0,647513.0,669048.0,691409.0,697507.0,699171.0,700681.0,704145.0,715321.0,725989.0,739220.0,756914.0,772829.0,782271.0,778834.0,780334.0,784123.0,795777.0,803024.0,815367.0,830161.0,849774.0,871456.0,884816.0,884523.0,871258.0,851359.0,841495.0,834148.0,827765.0,814851.0,802776.0,801296.0,810335.0,822090.0,830705.0,835882.0,846654.0,868901.0,880333.0,880705.0,871765.0,860728.0,861683.0,867311.0,883565.0,893617.0
395148,18,"Tampa, FL",msa,FL,210344.0,208946.0,209688.0,212164.0,213642.0,213264.0,213237.0,214048.0,216806.0,218115.0,220254.0,222037.0,223386.0,223956.0,224873.0,225794.0,227448.0,229416.0,232244.0,233419.0,235268.0,235290.0,237174.0,239914.0,244680.0,251473.0,256372.0,262251.0,264731.0,267751.0,268316.0,270055.0,273168.0,280744.0,290181.0,296576.0,301725.0,307363.0,313364.0,319941.0,324726.0,334256.0,343582.0,353320.0,359357.0,365808.0,370906.0,374894.0,372328.0,368904.0,367083.0,365028.0,364507.0,360185.0,362127.0,365476.0,369365.0,371703.0,371791.0,374094.0,376675.0,375590.0,376301.0,378220.0,381042.0,382195.0,381947.0,384225.0,385172.0
394530,19,"Denver, CO",msa,CO,412803.0,411178.0,411582.0,410388.0,411824.0,412472.0,412244.0,414161.0,416840.0,420019.0,421117.0,422541.0,423280.0,424822.0,425749.0,427740.0,428760.0,431853.0,436958.0,446804.0,447650.0,443100.0,436756.0,443187.0,455050.0,469038.0,479705.0,487658.0,488689.0,487944.0,493597.0,510211.0,528265.0,543558.0,552591.0,559406.0,562140.0,563850.0,565176.0,570191.0,577363.0,584838.0,595046.0,606843.0,622468.0,630339.0,632478.0,626867.0,620940.0,616101.0,611619.0,606026.0,598540.0,591246.0,588852.0,589350.0,592960.0,598798.0,596576.0,592769.0,587648.0,588580.0,589336.0,581840.0,573283.0,567606.0,571032.0,580399.0,590495.0
394358,20,"Baltimore, MD",msa,MD,269844.0,273110.0,272251.0,271448.0,267684.0,266158.0,263571.0,268316.0,272361.0,276523.0,276961.0,278123.0,277871.0,280885.0,281650.0,282304.0,282351.0,284009.0,285735.0,290941.0,299846.0,300043.0,293652.0,288487.0,297165.0,304197.0,310478.0,309891.0,307958.0,306825.0,305892.0,304412.0,298846.0,298651.0,301984.0,304419.0,304925.0,307923.0,315300.0,316075.0,314823.0,313857.0,315322.0,318009.0,319990.0,325229.0,327420.0,324675.0,323327.0,324533.0,325036.0,321257.0,317111.0,316371.0,319989.0,322880.0,327848.0,332013.0,336582.0,341153.0,343768.0,349121.0,348368.0,351578.0,349147.0,352867.0,354712.0,358368.0,359152.0
395121,21,"St. Louis, MO",msa,MO,169791.0,171703.0,173418.0,173742.0,173373.0,174952.0,175142.0,177302.0,176263.0,176408.0,177418.0,177262.0,178519.0,176093.0,178408.0,179271.0,181063.0,182613.0,181897.0,184110.0,186205.0,189235.0,190153.0,193441.0,195614.0,200671.0,202828.0,205960.0,205261.0,202728.0,202289.0,201645.0,201884.0,202879.0,206659.0,210111.0,212393.0,214546.0,214590.0,214431.0,212007.0,210081.0,210267.0,210953.0,215204.0,215844.0,222275.0,224471.0,227198.0,224699.0,223456.0,222314.0,219615.0,216192.0,215845.0,215789.0,220087.0,220442.0,226870.0,230648.0,236423.0,236647.0,233766.0,229901.0,225455.0,223811.0,224457.0,227558.0,233046.0
394943,22,"Orlando, FL",msa,FL,239689.0,241247.0,242208.0,244253.0,244666.0,246898.0,248233.0,248368.0,248429.0,249402.0,251359.0,253053.0,253969.0,254775.0,254453.0,253899.0,255928.0,258260.0,261205.0,262034.0,264542.0,265641.0,266270.0,266842.0,270281.0,274805.0,279423.0,284510.0,286943.0,288550.0,289270.0,293477.0,300085.0,306255.0,313747.0,321826.0,329487.0,334078.0,339128.0,345102.0,352587.0,358622.0,364015.0,372031.0,380867.0,389737.0,393933.0,394343.0,393028.0,389971.0,388884.0,388075.0,387639.0,384107.0,384575.0,386594.0,390912.0,395094.0,398846.0,403930.0,401712.0,400945.0,399926.0,402213.0,403761.0,400822.0,401674.0,403592.0,405933.0
394458,23,"Charlotte, NC",msa,NC,215921.0,215800.0,216051.0,217099.0,217937.0,219249.0,220310.0,222274.0,225282.0,227700.0,230605.0,233428.0,232109.0,233291.0,234570.0,238241.0,241010.0,243048.0,246410.0,246962.0,250325.0,245873.0,245854.0,247724.0,258129.0,264665.0,271464.0,275860.0,277688.0,279216.0,279031.0,281831.0,284959.0,291428.0,296760.0,302553.0,306769.0,314084.0,320351.0,326041.0,329627.0,333460.0,337642.0,339240.0,346731.0,354570.0,362196.0,362999.0,360750.0,357384.0,353295.0,351201.0,345391.0,349612.0,347410.0,351309.0,346689.0,351004.0,358049.0,364003.0,368371.0,364961.0,368074.0,364582.0,362890.0,360315.0,366690.0,373226.0,378948.0
